CSD refcode,CIF filename
JIDPAQ,jidpaq_P1_charged
JIDRUM,jidrum_P1_charged
JIHWAB,jihwab_P1
JIYBEB,jiybeb_P1_H
JOGJEX,jogjex_P1_charged
JOMZIX,jomzix_P1
JUCYOY,jucyoy_P1_H
JUCZAL,juczal_P1_H
JUTWED,jutwed_P1_charged
JUTZEG,jutzeg_P1_charged
KACZEV,kaczev_P1_H
KACZIZ,kacziz_P1_H
KAWQUX,kawqux_P1_H
KAWXIS,kawxis_P1_charged_H
KAZXEQ,kazxeq_P1_charged
KEDQAN,kedqan_P1_H
KEFBEE,kefbee_P1
KEFBII,kefbii_P1
KEFBOO,kefboo_P1
KEGBIK,kegbik_P1_charged
KEPPIF,keppif_P1_charged_H
KEQDER,keqder_P1
KERFOF,kerfof_P1_H
KIDVIE,kidvie_P1_H
KIJRUS,kijrus_P1
KIKFIV,kikfiv_P1
KIYBIF,kiybif_P1_H
KOCCUC,koccuc_P1
KODPUP02,kodpup02_P1
KOFVOS,kofvos_P1_H
KOGTAE,kogtae_P1_H
KOGTEI,kogtei_P1_H
KOHKIC,kohkic_P1
KOHKOI,kohkoi_P1
KOTLOX,kotlox_P1
KOZQEX,kozqex_P1
KUFBEU,kufbeu_P1
KUGZIW,kugziw_P1_charged
KUYGOC,kuygoc_P1
KUYHIY,kuyhiy_P1_H
KUYJAS,kuyjas_P1_charged
LABRUE,labrue_P1_charged_H
LAGWEX,lagwex_P1_H
LAJLIT,lajlit_P1_charged_H
LALPIZ,lalpiz_P1_H
LALPOF,lalpof_P1_H
LARXUA,larxua_P1
LASDEQ,lasdeq_P1
LASYOU,lasyou_P1
LAVTAF,lavtaf_P1
LAVTEJ,lavtej_P1
LAVTIN,lavtin_P1
LAVTOT,lavtot_P1
LAVTUZ,lavtuz_P1
LAVZOA,lavzoa_P1_H
LAYQUA,layqua_P1
LAZHUR,lazhur_P1
LAZQOU,lazqou_P1
LAZXOB,lazxob_P1_H
LECFAC,lecfac_P1
LECFEG,lecfeg_P1
LECGAD,lecgad_P1_H
LEKMEW,lekmew_P1_H
LEKNOH,leknoh_P1
LEPKEZ,lepkez_P1_charged
LEPKID,lepkid_P1_charged_H
LEPKOJ,lepkoj_P1_charged
LEPSIL,lepsil_P1
LEVFAW,levfaw_P1
LICGOW,licgow_P1
LIGQEA,ligqea_P1
LIJQON,lijqon_P1_H
LIJXEI,lijxei_P1_H
LIKWUA,likwua_P1_H
LIPQIL,lipqil_P1_charged_H
LIQDAS,liqdas_P1
LIXMIQ,lixmiq_P1_H
LIZFUY,lizfuy_P1_H
LIZQET,lizqet_P1_H
LOBBIQ,lobbiq_P1
LOBBOW,lobbow_P1
LOBBUC,lobbuc_P1
LOBQEB,lobqeb_P1_H
LODPOK,lodpok_P1_H
LODPUQ,lodpuq_P1_H
LOXBEH,loxbeh_P1_H
LUDLED,ludled_P1
LUDLIH,ludlih_P1
LUFNAC01,lufnac01_P1_H
LUFNAC03,lufnac03_P1_H
LUFNAC04,lufnac04_P1_H
LUFNAC05,lufnac05_P1_H
LUMYEZ,lumyez_P1_charged_H
LUMYID,lumyid_P1_charged_H
LURRIA,lurria_P1
LUSYEF,lusyef_P1
LUXDUE,luxdue_P1_charged_H
LUXFEQ,luxfeq_P1_charged_H
MAFJIO,mafjio_P1
MAFZIE,mafzie_P1_H
MAFZUQ,mafzuq_P1_charged
MAGBON,magbon_P1_charged
MAKHOY,makhoy_P1
MAPFIS,mapfis_P1_H
MARDAM,mardam_P1_charged_H
MARXEK,marxek_P1
MAYKOO,maykoo_P1
MEGBAD,megbad_P1
MEHMET,mehmet_P1
MERLAZ,merlaz_P1_H
MERLED,merled_P1_H
MIHMIC,mihmic_P1_charged
MIHMOI,mihmoi_P1_H
MILROQ,milroq_P1
MIRDOJ,mirdoj_P1_H
MITGIF,mitgif_P1_H
MITGOL,mitgol_P1_H
MITGUR,mitgur_P1_H
MITSAK,mitsak_P1_charged_H
MIXHAF,mixhaf_P1
MIXZOK,mixzok_P1_charged_H
MOBBOU,mobbou_P1_H
MOGVAG,mogvag_P1_H
MOSHUA,moshua_P1
MOTKAI,motkai_P1_H
MOXPIZ,moxpiz_P1_charged
MOYDOW,moydow_P1_H
MOYREA,moyrea_P1
MOYRIE,moyrie_P1
MOYTUR,moytur_P1_charged_H
MUDLON,mudlon_P1
MUDTAH,mudtah_P1
MUNDEG,mundeg_P1
MUNDOQ,mundoq_P1_H
MUVROM,muvrom_P1_charged
MUWQEB,muwqeb_P1_charged_H
MUZHUL,muzhul_P1_charged
NABMUA,nabmua_P1
NABMUA01,nabmua01_P1
NAGBUU,nagbuu_P1_H
NAGKOY,nagkoy_P1_H
NAHHAI,nahhai_P1_H
NAJMIV,najmiv_P1_charged_H
NALYEG,nalyeg_P1_H
NARPUU,narpuu_P1
NAVBIX,navbix_P1_charged
NAVJAW01,navjaw01_P1_H
NAVPAE,navpae_P1_charged
NAVPEI,navpei_P1_charged
NAYZOE,nayzoe_P1_H
NAZZEV,nazzev_P1_H
NDAIAH,ndaiah_P1_H
NEDWEA,nedwea_P1
NEDWIE,nedwie_P1
NEKBEL,nekbel_P1_H
NERMON,nermon_P1_H
NERTAH,nertah_P1
NEVDUQ,nevduq_P1
NEVTIU03,nevtiu03_P1
NEZWOG,nezwog_P1_H
NIBHOW,nibhow_P1
NIBHUC,nibhuc_P1
NIBJAK,nibjak_P1
NIBXUT,nibxut_P1
NIGDIS,nigdis_P1_H
NIHGAP,nihgap_P1
NIHVUX,nihvux_P1_H
NIJZIP,nijzip_P1_H
NIJZOV,nijzov_P1
NIMXIS,nimxis_P1
NINVAI,ninvai_P1_charged
NISPEL,nispel_P1_charged_H
NIVNOW,nivnow_P1_H
NIVNUC,nivnuc_P1_H
NIVWIY,nivwiy_P1
NIWYAV,niwyav_P1
NIWYEZ,niwyez_P1
NIZNOC,niznoc_P1
NOFQII,nofqii_P1_H
NOLVER,nolver_P1_H
NUFBEX,nufbex_P1_charged
NUFBUN,nufbun_P1
NUHVOE,nuhvoe_P1_H
NUHVUK,nuhvuk_P1_H
NUKRET,nukret_P1_H
NULNOA,nulnoa_P1
NUTQAV,nutqav_P1
NUTQEZ,nutqez_P1
NUVWEH,nuvweh_P1_H
NUVWIL,nuvwil_P1
NUYNAY,nuynay_P1_H
NUYNEC,nuynec_P1_H
OBUBOC,obuboc_P1_H
OCUGEZ,ocugez_P1_H
OCURIO,ocurio_P1_charged_H
ODEZAB,odezab_P1
ODIXEG,odixeg_P1
OGEBAF,ogebaf_P1
OGEBAF01,ogebaf01_P1
OGURAK,ogurak_P1_charged
OHASUM,ohasum_P1_H
OHUKIM,ohukim_P1_H
OJAXUV,ojaxuv_P1_H
OJONOQ,ojonoq_P1_H
OKABAE,okabae_P1
OLANAS,olanas_P1_H
OMIPEH,omipeh_P1_charged
OMITUB,omitub_P1_charged
OMUSAS,omusas_P1_H
OPAPEB,opapeb_P1_H
OPAPIF,opapif_P1_H
OPAPOL,opapol_P1_H
OQIQUB01,oqiqub01_P1_charged_H
OQUWUU,oquwuu_P1
ORIVOC,orivoc_P1_H
ORIVUI,orivui_P1_H
ORIWAP,oriwap_P1_H
ORIWET,oriwet_P1_H
OTUDEO,otudeo_P1
OTUDIS,otudis_P1
OVIZID,ovizid_P1_H
OXITOF,oxitof_P1
OXUPUT,oxuput_P1_H
OYERER,oyerer_P1_charged
OZEMIQ,ozemiq_P1_charged_H
OZEMOW,ozemow_P1_charged_H
PACGIM,pacgim_P1_charged
PADBAZ,padbaz_P1_charged_H
PAPZAJ,papzaj_P1_H
PEFRUP,pefrup_P1
PEHQID,pehqid_P1_charged
PELRIJ,pelrij_P1
PEPFAT,pepfat_P1_H
PEWFII,pewfii_P1_H
PEXTUI,pextui_P1_H
PEYVEV,peyvev_P1_H
PIBNUK,pibnuk_P1
PIBNUK01,pibnuk01_P1
PIBPIA,pibpia_P1
PIKCUK,pikcuk_P1_charged_H
PIPKOR,pipkor_P1_charged
PIQFIG,piqfig_P1_H
PIQMUZ,piqmuz_P1_charged_H
PIRQOZ,pirqoz_P1_charged
PIZNOB,piznob_P1_H
PIZPAP,pizpap_P1_H
PIZPET,pizpet_P1_H
PIZPIX,pizpix_P1_H
PIZPIX02,pizpix02_P1_H
PIZPOD,pizpod_P1_H
POBNEA,pobnea_P1_charged_H
PODCUJ,podcuj_P1
PODKOK,podkok_P1
PODKUQ,podkuq_P1
POHWIU,pohwiu_P1
POJNEI,pojnei_P1_charged_H
POKDIF,pokdif_P1
POKDIF01,pokdif01_P1
POKGEC,pokgec_P1_H
POMMAH,pommah_P1_charged
PONRES,ponres_P1
POSFOU,posfou_P1
POSWUS,poswus_P1_H
POXLIZ,poxliz_P1_H
POZHUI,pozhui_P1_charged
PUFNUB,pufnub_P1
PUKVAU,pukvau_P1_H
PUMDIM,pumdim_P1_charged_H
PUQJAP,puqjap_P1
PUSXIL,pusxil_P1_charged
PUSXIL01,pusxil01_P1_charged
QAGQEW,qagqew_P1_H
QALHIX,qalhix_P1_charged
QAMVEH01,qamveh01_P1
QANSUV,qansuv_P1_H
QATPUX,qatpux_P1_H
QAVBUL,qavbul_P1
QAZFAB,qazfab_P1
QEZZIF,qezzif_P1_H
QEZZOL,qezzol_P1_H
QIPROY,qiproy_P1
QISVAQ,qisvaq_P1_H
QITSAQ,qitsaq_P1_charged
QIWCOQ,qiwcoq_P1
QOPCII,qopcii_P1_charged_H
QOPHEI,qophei_P1_H
QOQDEH,qoqdeh_P1
QOSLES,qosles_P1_charged
QOTKOC,qotkoc_P1_charged
QOTKOC01,qotkoc01_P1_charged
QOTKOC02,qotkoc02_P1_charged
QOTKOC03,qotkoc03_P1_charged
QOTKOC04,qotkoc04_P1_charged
QOTLOD,qotlod_P1_charged
QOTLOD01,qotlod01_P1_charged
QOTLOD02,qotlod02_P1_charged
QOTLOD03,qotlod03_P1_charged
QOTLOD04,qotlod04_P1_charged
QOTLOD05,qotlod05_P1_charged
QOVDAH,qovdah_P1_H
QOVDEL,qovdel_P1
QOWRAV02,qowrav02_P1
QOWRAV03,qowrav03_P1
QOWRAV04,qowrav04_P1
QOWRAV05,qowrav05_P1
QOWRAV06,qowrav06_P1
QOWRAV07,qowrav07_P1
QOWRAV08,qowrav08_P1
QOWRAV09,qowrav09_P1
QOWRAV10,qowrav10_P1
QOWRAV11,qowrav11_P1
QOWRAV12,qowrav12_P1
QOXNEX,qoxnex_P1_H
QOYYOU,qoyyou_P1_H
QOZFUG,qozfug_P1_charged_H
QUBZAP,qubzap_P1_charged_H
QUSRUT,qusrut_P1
QUSSAB,qussab_P1
QUTTII01,quttii01_P1_H
RAHBOU,rahbou_P1
RAHNOF,rahnof_P1
RAMJOH,ramjoh_P1_charged_H
RANWAH,ranwah_P1_H
RASXEP,rasxep_P1_H
RASXIT,rasxit_P1_H
RAVVUH,ravvuh_P1_H
RAVWAO,ravwao_P1_H
RAXCAW,raxcaw_P1_charged
RAYMIP,raymip_P1
RAYMOV,raymov_P1_H
RAZXIA,razxia_P1_H
RAZXIA02,razxia02_P1_H
REBSID,rebsid_P1_charged
REBSOJ,rebsoj_P1_charged
REBSUP,rebsup_P1_charged
REDROI,redroi_P1_H
REGJIW,regjiw_P1_H
REGJIW01,regjiw01_P1_H
RESMEJ,resmej_P1_charged_H
REWSUJ,rewsuj_P1_charged
REWTOF,rewtof_P1_H
REZXEA,rezxea_P1_charged_H
REZXIE,rezxie_P1_charged_H
REZXIE01,rezxie01_P1_charged_H
RIBRAY,ribray_P1
RICBEM,ricbem_P1_H
RIDCEN,ridcen_P1_charged_H
RIFDUG01,rifdug01_P1
RIFQEC,rifqec_P1_H
RILFEA,rilfea_P1
RILJOO,riljoo_P1_charged_H
RIPTAM,riptam_P1_H
RISXAU,risxau_P1_H
RIWKOA,riwkoa_P1_H
RIWMUH,riwmuh_P1
RODJUS,rodjus_P1_H
RONCIG,roncig_P1_H
ROQZOP,roqzop_P1
RORBAE01,rorbae01_P1
RORRIC01,rorric01_P1_H
RORRIC02,rorric02_P1_H
RORRIC05,rorric05_P1_H
RORRIC06,rorric06_P1_H
ROSKER,rosker_P1_H
ROSZIL,roszil_P1_charged
ROSZOR,roszor_P1_charged
ROTNUM,rotnum_P1
ROTNUM01,rotnum01_P1
RUBDUP,rubdup_P1
RUBLAD03,rublad03_P1
RUJGOT,rujgot_P1_H
RULQIY,rulqiy_P1
RUPVAB,rupvab_P1_charged
RUVKAV,ruvkav_P1
RUYQIN,ruyqin_P1
RUYQIN01,ruyqin01_P1
RUYQIN02,ruyqin02_P1
RUYQIN03,ruyqin03_P1
RUYTUC,ruytuc_P1
RUYVAK,ruyvak_P1
RUYVIS,ruyvis_P1_H
SADLIU,sadliu_P1
SAHNIZ,sahniz_P1_charged_H
SAKNOJ,saknoj_P1
SALXEL,salxel_P1_H
SALXIP,salxip_P1_H
SAQQAD,saqqad_P1
SAQQEH,saqqeh_P1
SAQQIL,saqqil_P1
SAQQOR,saqqor_P1
SECSUR,secsur_P1_H
SEHXIN,sehxin_P1
SEKBIW,sekbiw_P1
SEKBOC,sekboc_P1
SELKEC,selkec_P1_H
SEQSIS,seqsis_P1_H
SIJMOQ,sijmoq_P1_H
SIXNEV,sixnev_P1
SOBDOF,sobdof_P1
SOBTUY,sobtuy_P1_H
SOCKEC,sockec_P1_H
SODRUB,sodrub_P1_charged_H
SOFJOO,sofjoo_P1
SOGWIV,sogwiv_P1_charged
SOJSUH,sojsuh_P1
SOJTOC,sojtoc_P1_charged_H
SOTTUR,sottur_P1_charged_H
SOZGIZ,sozgiz_P1
SOZGOF,sozgof_P1
SOZRUW,sozruw_P1
SOZSAD,sozsad_P1
SOZSEH,sozseh_P1
SOZSIL,sozsil_P1_H
SOZSOR,sozsor_P1
SOZSUX,sozsux_P1_H
SUKREX,sukrex_P1_H
SUKRIB,sukrib_P1_H
SUKYIH,sukyih_P1
SUKYON,sukyon_P1
SUNLAP,sunlap_P1
SUQHUJ,suqhuj_P1_charged_H
SURWAG,surwag_P1_charged_H
TAGTIH,tagtih_P1_charged_H
TAGTUT,tagtut_P1_H
TASYUJ,tasyuj_P1_charged_H
TASZAQ,taszaq_P1_charged_H
TASZEU,taszeu_P1_charged
TAZLIR,tazlir_P1_H
TAZLOX,tazlox_P1_H
TAZLUD,tazlud_P1_H
TEJBUI,tejbui_P1
TEKYOA,tekyoa_P1
TETWUM,tetwum_P1_H
TEWFOS,tewfos_P1
TEWFUY,tewfuy_P1_H
TEWMUG,tewmug_P1
TIHTUC,tihtuc_P1
TIQHAD,tiqhad_P1_H
TISKOW,tiskow_P1_H
TISNUH,tisnuh_P1_H
TISPAP,tispap_P1_H
TIXVON,tixvon_P1
TOCNUX,tocnux_P1_H
TODLEG,todleg_P1_H
TOGMIO,togmio_P1
TOHNOV,tohnov_P1
TOMBAB,tombab_P1_charged
TOVKEW,tovkew_P1
TOVKIA,tovkia_P1
TOVKOG,tovkog_P1
TOWLOI,towloi_P1
TOWNAW,townaw_P1
TOWNOK,townok_P1
TOWPAY,towpay_P1
TUBDAY,tubday_P1
TUHDIM,tuhdim_P1
TULLIX,tullix_P1_H
TUMGIS,tumgis_P1_H
TUNCAI,tuncai_P1
TUPZOW,tupzow_P1_charged
TUSGUJ,tusguj_P1_charged
TUVCIZ,tuvciz_P1
TUVDIX,tuvdix_P1_H
TUVDOD,tuvdod_P1_H
TUVDUJ,tuvduj_P1_H
TUXVOA,tuxvoa_P1
TUXVUG,tuxvug_P1
