CSD refcode,CIF filename
ISENUQ,isenuq_P1_H
ISIKIF,isikif_P1_H
ITIZUH,itizuh_P1_H
IVEQEG01,iveqeg01_P1_H
IVOCIH,ivocih_P1_H
IWELIG01,iwelig01_P1_H
IWELOM,iwelom_P1_H
IWEPEF,iwepef_P1_H
IWEVAJ,iwevaj_P1_H
IYAHAR,iyahar_P1_charged_H
IYAHAT,iyahat_P1_H
IYAHEX,iyahex_P1_H
IYAJUP,iyajup_P1_charged_H
IYAKIE,iyakie_P1_H
IYALUR,iyalur_P1_H
IYUCIQ,iyuciq_P1_H
IYUHIU,iyuhiu_P1_H
IYUHOA,iyuhoa_P1_charged_H
IZENOS,izenos_P1_charged_H
IZEQUB,izequb_P1_H
IZIBUQ,izibuq_P1_H
IZOWAW,izowaw_P1_charged_H
IZOWEA,izowea_P1_charged_H
JALLOA,jalloa_P1_H
JAVNIE,javnie_P1_H
JEBCOJ,jebcoj_P1_H
JEBWEV,jebwev_P1_charged_H
JEDJUY,jedjuy_P1_H
JEFSUJ,jefsuj_P1_H
JENKET,jenket_P1_H
JENKIX,jenkix_P1_H
JETLUS,jetlus_P1_H
JICJEN,jicjen_P1_H
JIDBAC,jidbac_P1_charged_H
JIDBEG,jidbeg_P1_charged_H
JIJTOO,jijtoo_P1_H
JISQEK,jisqek_P1_charged_H
JITPOS,jitpos_P1_charged_H
JIWKUW,jiwkuw_P1_H
JIXKAF,jixkaf_P1_H
JIYBEB,jiybeb_P1_H
JIYSUI,jiysui_P1_H
JIZWEW,jizwew_P1_H
JIZWIA,jizwia_P1_H
JIZWOG,jizwog_P1_H
JOFGOC,jofgoc_P1_H
JOLYEQ,jolyeq_P1_H
JOTDEE,jotdee_P1_charged_H
JOTDII,jotdii_P1_charged_H
JOYHOW,joyhow_P1_H
JUCYOY,jucyoy_P1_H
JUCZAL,juczal_P1_H
JUHNIL,juhnil_P1_H
JUXQAW,juxqaw_P1_charged_H
JUZXAD01,juzxad01_P1_H
KACZEV,kaczev_P1_H
KACZIZ,kacziz_P1_H
KAGCAY,kagcay_P1_H
KALGAH,kalgah_P1_H
KAMYAB,kamyab_P1_charged_H
KARLAS,karlas_P1_H
KARLIA,karlia_P1_H
KASHUK,kashuk_P1_H
KASRAZ,kasraz_P1_H
KASRED,kasred_P1_H
KAVKIC,kavkic_P1_H
KAWHEY,kawhey_P1_H
KAWQOP,kawqop_P1_H
KAWQUX,kawqux_P1_H
