CSD refcode,CIF filename
IFIYAA,ifiyaa_P1_charged
IGAGAA,igagaa_P1_charged
IGIZUW,igizuw_P1_charged
IGONUP,igonup_P1_charged
IGOPAX,igopax_P1_charged
IGOPEB,igopeb_P1_charged
IGUFOH,igufoh_P1_charged
IHAZOH,ihazoh_P1_charged_H
IJEVIE,ijevie_P1_charged_H
IJEXUR,ijexur_P1_charged_H
IJEXUS,ijexus_P1_charged_H
IKEZED,ikezed_P1_charged_H
IKOPEF,ikopef_P1_charged
ILAXEA,ilaxea_P1_charged
ILOTEJ02,ilotej02_P1_charged
ILOTEJ03,ilotej03_P1_charged
ILOTEJ04,ilotej04_P1_charged
ILOTEJ05,ilotej05_P1_charged
ILOTEJ06,ilotej06_P1_charged
ILOTEJ07,ilotej07_P1_charged
ILOTIN01,ilotin01_P1_charged
ILOTIN02,ilotin02_P1_charged
ILOTIN03,ilotin03_P1_charged
ILOTIN04,ilotin04_P1_charged
ILOTIN05,ilotin05_P1_charged
ILOTIN06,ilotin06_P1_charged
ILOTIN07,ilotin07_P1_charged
IMACZN01,imaczn01_P1_charged
IMIXEI,imixei_P1_charged
IMIXIM,imixim_P1_charged
INEBOT,inebot_P1_charged_H
INEBOT01,inebot01_P1_charged
IPICUG,ipicug_P1_charged
IPIDAN,ipidan_P1_charged
IQEKAQ,iqekaq_P1_charged
IREGOD,iregod_P1_charged
IRISAD,irisad_P1_charged_H
IRISAD01,irisad01_P1_charged
ISASIF,isasif_P1_charged
ISAYOQ,isayoq_P1_charged_H
ITIWEO,itiweo_P1_charged
ITIWUE,itiwue_P1_charged
ITUVOJ,ituvoj_P1_charged
IVESOS,ivesos_P1_charged
IVETOT,ivetot_P1_charged
IVILEG,ivileg_P1_charged
IXEDOE,ixedoe_P1_charged
IYAHAR,iyahar_P1_charged_H
IYAJID,iyajid_P1_charged
IYAJOJ,iyajoj_P1_charged
IYAJUP,iyajup_P1_charged_H
IYOVEY,iyovey_P1_charged
IYOVIC,iyovic_P1_charged
IYUHOA,iyuhoa_P1_charged_H
IZENOS,izenos_P1_charged_H
IZENUY,izenuy_P1_charged
IZIDIG01,izidig01_P1_charged
IZIDOM,izidom_P1_charged
IZISEQ,iziseq_P1_charged
IZOWAW,izowaw_P1_charged_H
IZOWEA,izowea_P1_charged_H
JAMLIT,jamlit_P1_charged
JANNAQ,jannaq_P1_charged
JANQAT,janqat_P1_charged
JARMEU,jarmeu_P1_charged
JARMEU10,jarmeu10_P1_charged
JAYXAL,jayxal_P1_charged
JEBWEV,jebwev_P1_charged_H
JEDCEB,jedceb_P1_charged
JEDCIF,jedcif_P1_charged
JEGWUQ,jegwuq_P1_charged
